A_250,CV_250
"(nan, nan, nan, nan, nan, 3.966050606805742, 6.837996467035158, 7.675578866572854, 12.71388462149706, 15.311510031678985, 14.258555133079847, 17.475111205253125, 18.01229073956347, 20.40069048490872, 24.479166666666668, 23.302616248278785, 28.728127448419954, 26.874773890123517, 28.222013170272817, 30.147097042465827, 32.14433844877644)","(nan, nan, nan, nan, nan, 0.5121040718634208, 0.7925609324647217, 0.4230571572717151, 0.5187811494054261, 0.6082260362595362, 0.5577456126047625, 0.7357008648241294, 0.6204021053571527, 0.5129506835332929, 0.7486048221107716, 0.6222581175526433, 0.603153430576784, 0.655608963885704, 0.6692199594632051, 0.5640652754113816, 0.6559484777828186)"
"(nan, nan, nan, nan, nan, nan, nan, 5.092020077107732, 4.3789227849948915, 6.753023512800049, 10.056634732440587, 13.238457719675656, 15.015015015015013, 18.468682391430526, 21.529090527200168, 19.601610510701416, 22.63515291888193, 22.537025112685125, 25.97807450511768, 25.06399317406143, 26.55973336110822)","(nan, nan, nan, nan, nan, nan, nan, 0.4857907192426032, 0.4153156580657901, 0.5199883769708435, 0.595689947250503, 0.5776813322954604, 0.5401523643144465, 0.6253193586246961, 0.6625451073913168, 0.513912598397871, 0.49213815430744157, 0.5021120693966702, 0.5913026145213585, 0.5435331792979365, 0.5849154126092533)"
"(nan, nan, nan, nan, nan, 5.072708826513359, 4.860661049902786, 9.183263502267117, 9.182736455463727, 14.518470721084043, 14.390878397077545, 21.774068121727407, 21.592293212268853, 27.488502405243956, 25.954764553207266, 30.978934324659228, 30.694326841659606, 33.91068447412354, 35.66260078561092, 38.04692454026633, 37.97731765685152)","(nan, nan, nan, nan, nan, 0.39236702322763606, 0.6197682757887133, 0.550745554214072, 0.7286254863107489, 0.6469163827191245, 0.6171663890855448, 0.6513486987513321, 0.6386253854073277, 0.7171694105149721, 0.5692244562547961, 0.596184419851352, 0.6071362995172838, 0.5655608785578452, 0.5947685246023894, 0.5933263739248876, 0.47678930521586427)"
"(nan, nan, 5.779869540087523, 9.26906779661017, 7.728401876897599, 12.257514389256022, 11.293965795417876, 16.291951775822746, 18.466733498654566, 18.799011709098718, 22.256372211329552, 27.122887544335487, 27.71264122788318, 31.198773200782608, 33.56408642752255, 37.43760399334443, 40.690698523657986, 41.946308724832214, 43.63673699881924, 45.76538663861126, 45.10276254420583)","(nan, nan, 0.6322080099761999, 0.4896231426419587, 0.5214683146602828, 0.552815098611118, 0.34730902673791203, 0.550361390328835, 0.48932201909021045, 0.4608958492197532, 0.4667893012117546, 0.6602340779332877, 0.6137861311028993, 0.5042545747623861, 0.5655439239045473, 0.5292515041763065, 0.5723698285268326, 0.5736357477227971, 0.6112280724815341, 0.6185354094521389, 0.5786487842989844)"
