A_inf_data,A_inf_data_passive,A_inf_mc_data
"(1.0433173332766243, 1.2902140510267142, 1.574663198682388, 1.9142556972368212, 2.3267566334619727, 2.8533666800454913, 3.4916085041224756, 4.2842438407031205, 5.282782382263943, 6.566988771665637, 8.136767686781306, 10.10685107097353, 12.532152157593668, 15.564686375920987, 19.126177152295686, 23.209316622118298, 27.81460424233879, 32.80237043850889, 37.88250836678084, 43.08997250491819, 48.251077489308614, 53.471980283021, 58.85364365992188, 64.42369478722738, 70.42501742329372, 76.83908108107046, 83.83020100700173, 91.56366465405547, 100.02021968652993, 109.45016713278338, 119.8860970837655)","(0.9965505033088631, 1.1485729336580888, 1.3679882654331783, 1.6185910075942327, 1.911245059887782, 2.254675748249512, 2.658374004073509, 3.131976238518685, 3.688238979523541, 4.33963786359097, 5.102143152274768, 5.992108269740198, 7.032512300343161, 8.243874881786578, 9.654218451341096, 11.285252559016651, 13.17460138345768, 15.34437700521888, 17.832185534729792, 20.68508891953077, 23.91663469841803, 27.570592908069088, 31.70931860889441, 36.31904616878248, 41.49430378875014, 47.19516030513678, 53.49027675793235, 60.49414476509254, 68.12729245582653, 76.62209597699733, 85.89486199772804)","(1.0573333333333332, 4.753333333333333, 23.19333333333333, 61.43066666666667, 119.31066666666665)"
"(1.1161973747107983, 1.296410584222089, 1.5884084573607944, 1.937096407109917, 2.3582141941445167, 2.900812884078253, 3.5636034504277574, 4.389048959076556, 5.444934249707496, 6.819146493001303, 8.519677534674196, 10.708520841375632, 13.446777380214233, 16.972842820742002, 21.23625186734321, 26.225641492202136, 32.00595069090268, 38.33295316555673, 44.72124401603432, 51.1884035206329, 57.340727532344545, 63.331627532070705, 69.2836168568098, 75.20413406001556, 81.51795664190016, 88.15975514419394, 95.37635221862047, 103.39505353543284, 112.13895624127323, 121.9353039588695, 132.76521167078982)","(0.992053502313721, 1.1178580387620136, 1.3499735739761989, 1.605144729730618, 1.8998092779885745, 2.2443169835804904, 2.6489786046302948, 3.122901838044379, 3.6797875849794326, 4.331212335430458, 5.093573714674112, 5.986086652738768, 7.026086009349774, 8.236865309977773, 9.648191280705836, 11.27852416341781, 13.169649304879874, 15.338672320994045, 17.825323993783933, 20.681855799296134, 23.91215012580771, 27.564779984759216, 31.710357789895568, 36.31816907057952, 41.50423792182196, 47.20375943468643, 53.496346580468156, 60.518490448475916, 68.1499694804431, 76.67014305043693, 85.94226181172021)","(1.1066666666666667, 4.852, 26.264, 71.85200000000002, 131.33999999999997)"
"(1.1078531799483704, 1.251350079025773, 1.5580253806599649, 1.9123950183040819, 2.334166769596268, 2.8766843622242386, 3.5419676664392683, 4.368816548884893, 5.4341302704025525, 6.824388973115153, 8.555109892302788, 10.813782202903528, 13.664388160602115, 17.401227513670506, 22.023291760113434, 27.536536784618544, 34.10536656192948, 41.44533775301618, 48.95141317573987, 56.623051372530625, 63.82331215981333, 70.71630494469642, 77.43019528212714, 83.89103821672562, 90.69832777990882, 97.7480809988375, 105.37836823549296, 113.86826451558537, 123.07738917091757, 133.40974570451746, 144.79654385325662)","(0.9868935674533681, 1.0828497133168848, 1.3287717961472603, 1.5887936746593718, 1.8856069163194196, 2.2312238032382896, 2.636731120107423, 3.1109053255834054, 3.6681983184727662, 4.319504018510258, 5.081575122351307, 5.974895211183011, 7.014374825204133, 8.224446101151559, 9.636226679216216, 11.265667769251653, 13.157739919627662, 15.325755741454058, 17.81100220699808, 20.669714209670246, 23.89853129203723, 27.54910923160059, 31.69933343359206, 36.30496177681209, 41.49888740654091, 47.19655322515412, 53.48630367235601, 60.52215321768032, 68.15203402405169, 76.691920303037, 85.96503397983945)","(1.0866666666666667, 5.065333333333332, 27.797333333333327, 80.01199999999999, 142.82000000000002)"
