a,c,g
"(0.6962314621001475, 0.79160419032854, 0.8167629163496795, 0.822536496010577, 0.8237522098315653, 0.8239939690416636, 0.8240531309051198, 0.8240605249685888, 0.8240720077619068, 0.824072166584255, 0.8240721774653545, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059, 0.8240721774751059)","(0.23221095488972254, 0.3119404771911638, 0.3651294093271308, 0.4070419819901512, 0.4450322566223406, 0.4727046907250574, 0.4939050684931301, 0.5183810788601777, 0.5333353455709028, 0.5540824838932027, 0.5673235645229732, 0.5804950002715502, 0.5944031414895156, 0.6035327526683413, 0.6133272243855213, 0.6243074328828179, 0.6324584726431689, 0.6375122084281861, 0.6485304383296084, 0.6561494782879522, 0.6619444177282781, 0.6648927776107345, 0.6730121716316605, 0.6801840644529861, 0.6849846715696791, 0.6885828851298516, 0.6911400830783971, 0.6982849943133569, 0.7041100008806791, 0.7086304627140041)","(1.1081275437503357, 1.1661376769718614, 1.2095430950443316, 1.2468511694461477, 1.2781455906209889, 1.3063249336896825, 1.3324350728903387, 1.3488386293584391, 1.3720832139874153, 1.3825718921373427, 1.4040530426177962, 1.4142485246482361, 1.419048970435895, 1.4420729001990396, 1.4446536933631962, 1.4495798910134259, 1.4730631458219081, 1.4748154094694004, 1.4738944852700997, 1.475074135613273, 1.5008917461977367, 1.5007408459122984, 1.4971793234942736, 1.4967045310644382, 1.4918453675262906, 1.5232184428064537, 1.518504597102203, 1.5176146762270115, 1.51147243583558, 1.5061560300982175)"
"(0.7755587274356257, 0.8693348189587322, 0.8897654025268622, 0.8934172263572133, 0.8940526464147283, 0.8941644332362304, 0.8941785511848188, 0.8942004116166764, 0.8942006750207105, 0.8942007027013044, 0.8942007042587892, 0.8942007042813263, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134, 0.89420070428134)","(0.27542609072537017, 0.3659225297666482, 0.4260454202172502, 0.4746252276873313, 0.5120245734816922, 0.5398090071756925, 0.5731455095384139, 0.593355824913154, 0.618019283234522, 0.6322156524875139, 0.6532897358679756, 0.6672891886592208, 0.6800376649897469, 0.6945781512827099, 0.7042081257424203, 0.7133735862923309, 0.7268348780580824, 0.7355069444369153, 0.741219779452885, 0.7501454943454485, 0.7590736198246343, 0.7664147016232091, 0.7709444014644257, 0.776371162351605, 0.7853039952189591, 0.792249858213766, 0.7972789984345208, 0.8003669020581081, 0.8015756177705371, 0.8100111009739842)","(1.13308256895802, 1.1965209847933835, 1.2508464586111543, 1.29324017883806, 1.3278801549194703, 1.3590488121764182, 1.3770452490289142, 1.4071266390413142, 1.4324463946273478, 1.4442428408424706, 1.4677759268391781, 1.4796947949938593, 1.4842783462906102, 1.5100094035285792, 1.5119029693697896, 1.5171890483096906, 1.5434334364143545, 1.5444103159656661, 1.5422279368143106, 1.5429145378453748, 1.5726528312789794, 1.5713101872759583, 1.5658959402400057, 1.56442427939257, 1.5573614887749632, 1.5502498240346423, 1.5869027785491323, 1.5849649662955965, 1.5764167890578278, 1.5687080830952242)"
"(0.8546515724627444, 0.9440431858876663, 0.960758001293827, 0.9633938277047389, 0.9637959517974473, 0.9638570442257741, 0.9638724835605332, 0.9638735321924452, 0.9638736737276119, 0.9638736909752446, 0.9638736926428839, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693, 0.9638736927127693)","(0.32192249542624507, 0.41360626501852715, 0.48714356987978435, 0.5403251894453527, 0.5855775723874483, 0.6221335919643338, 0.6500985148891644, 0.6799605494534949, 0.701949633792245, 0.7252016678556824, 0.7387897878307764, 0.7599240592139213, 0.7746624267979213, 0.7867957688394622, 0.8038823792319578, 0.8141802789493335, 0.820229562676937, 0.8353931197629337, 0.8463170406306751, 0.8530380995598962, 0.8599859412289528, 0.8716914618432277, 0.8805130675790438, 0.8864145506057901, 0.8894951310448496, 0.8968095755468296, 0.9072216676237829, 0.9138266233593485, 0.9184970835486136, 0.9213240346456798)","(1.1636033489062156, 1.2354487119532622, 1.29507725677947, 1.34288605506935, 1.3810381469317228, 1.4029478677386793, 1.4356269495253196, 1.4692634165996934, 1.4800130109550838, 1.5099411972110077, 1.515377186648584, 1.5487429159918376, 1.552767516241912, 1.5535769155875097, 1.5821659454798258, 1.5874462255593011, 1.5835022572981754, 1.6168762269265042, 1.6130050207505928, 1.612652127635188, 1.604196195646142, 1.6435145201552976, 1.6353300699521687, 1.632434711405206, 1.622457030556812, 1.6121652779445164, 1.598428535913074, 1.6510118289986568, 1.6390547682034087, 1.6281280292196643)"
"(0.9330391834067018, 1.0153794525905941, 1.027327824593411, 1.02877535289781, 1.0289439242671086, 1.028961249167775, 1.0289630562593421, 1.0289632494310927, 1.0289632689131043, 1.0289632706786924, 1.028963270804784, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202, 1.0289632708084202)","(0.3652640706215582, 0.4774192257316775, 0.5576467962277725, 0.6178486487992523, 0.6657719694472248, 0.7039828879046307, 0.7385284324916738, 0.7693974439086749, 0.7948686803078969, 0.8183957784598378, 0.8396956877864529, 0.8569879270441405, 0.8776202104783306, 0.8909184919366295, 0.9029379985747817, 0.9208579747997071, 0.931562817859605, 0.9382335176180789, 0.9547702254964756, 0.9670095844731434, 0.9749909905666898, 0.9786895878814479, 0.992534512069034, 1.0029313557452948, 1.0104928699523952, 1.015234067446705, 1.0172642092027733, 1.0269435224756247, 1.0374350413995814, 1.043385045267418)","(1.1923308489456386, 1.2771608218093107, 1.334234264150182, 1.3959922383517867, 1.4247365055752763, 1.462124648334717, 1.4976917881511023, 1.53543140838092, 1.5465028168499033, 1.5792618737003794, 1.5835513773091792, 1.6213998023079867, 1.6243483329300001, 1.6233211604720865, 1.655482440455467, 1.660480015902606, 1.6537785033918464, 1.6913398593689415, 1.6848002290551591, 1.6829068721604672, 1.6702684427155312, 1.659478455245598, 1.6426603094590067, 1.6987711110999513, 1.684623965272685, 1.670039244911925, 1.6517053318629578, 1.6413978691259101, 1.621327751062926, 1.6027634283823333)"
"(1.0100745697630646, 1.083175494563649, 1.0917242124564184, 1.092565650022392, 1.0926447843703437, 1.0926518793279452, 1.0926525731453345, 1.0926526393665315, 1.0926568104790548, 1.0926568110639412, 1.0926568111141823, 1.092656811117613, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712, 1.092656811117712)","(0.42119400624948233, 0.5408394276339252, 0.6308412139374877, 0.6936598409384103, 0.7459871009000093, 0.7940429278141105, 0.8327585775866587, 0.8611145763521219, 0.8957265919975527, 0.9143848564666743, 0.9444555558461587, 0.9651749056993977, 0.97829647091861, 1.0015619611506996, 1.0156955616909005, 1.0293401696162041, 1.048251859374654, 1.060834036058331, 1.0670543126788725, 1.0827565399003962, 1.096510422548468, 1.1060708679550726, 1.11203124427594, 1.1124431887050572, 1.133323958509533, 1.1419242620423065, 1.149627968501532, 1.1524774333437504, 1.152587043967499, 1.1770914026182093)","(1.2277769490657038, 1.3218460237068028, 1.3849343211205147, 1.4406280508624651, 1.484333985933359, 1.5250594427182114, 1.5636275409972018, 1.6056033637404004, 1.6161899104335404, 1.6524157030580633, 1.6547044483211157, 1.6980726646058266, 1.6991957528500878, 1.694950178411604, 1.7305326886101364, 1.7349254560826555, 1.7238769557303015, 1.710894571047775, 1.6936044406227158, 1.7517541662740368, 1.7334545274737425, 1.718034806724899, 1.6955214449604887, 1.681502711937541, 1.6574025091049989, 1.6331057840220036, 1.605350119567707, 1.5874849898665615, 1.5589725027566979, 1.5327108208093967)"
"(1.0848187955113135, 1.1490077378962602, 1.154407104531352, 1.154821473169887, 1.1548497679748229, 1.154851761510368, 1.1548519110570248, 1.1548519213482908, 1.1548519220885445, 1.154851922135062, 1.1548519221378997, 1.154851922138037, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396, 1.1548519221380396)","(0.4762154995099329, 0.6144045537151603, 0.7085801274336752, 0.77794084524484, 0.8400437057549429, 0.8897306964964099, 0.925003218824287, 0.9667084111329688, 0.9970064614587326, 1.0309582287639278, 1.0472226016937611, 1.0785920183398936, 1.0952571238867028, 1.1161311048711962, 1.1386293638440617, 1.151816448169711, 1.164183966896886, 1.1843607847754871, 1.2004069180209531, 1.2070021065404481, 1.219807454002162, 1.2340404456508165, 1.247371688866707, 1.2530854941831153, 1.2550669247520698, 1.2820739697600478, 1.2961938795496089, 1.301539591410457, 1.3086889947436475, 1.29897681971197)","(1.2593746423189216, 1.3601405680891505, 1.4388152977950024, 1.5008695271847403, 1.5476747338529806, 1.591915961516981, 1.6328427563469563, 1.6796890187310842, 1.6890185540442697, 1.7292649492018934, 1.7285705856882998, 1.7337106667758142, 1.7752268664414979, 1.7671317188123008, 1.7498328662287943, 1.80915354082681, 1.792009721297331, 1.7727273372416226, 1.7494319046999438, 1.7336013337577418, 1.7022034469877094, 1.6746573021265379, 1.7404061564334428, 1.7213442507739574, 1.6898158286838556, 1.65726544671313, 1.6222254410548136, 1.599347000897506, 1.563327591749414, 1.5298946096934327)"
"(1.1571948162116863, 1.2095679265705117, 1.212378856393507, 1.2125327088950977, 1.2125393076609914, 1.2125396060922902, 1.2125396205697108, 1.2125396211983093, 1.2125396212270476, 1.2125396212281805, 1.212539621228225, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258, 1.2125396212282258)","(0.5418633256966335, 0.6913122659245665, 0.7936949157072901, 0.8718795058972512, 0.9365363439878159, 0.9858836214955257, 1.0347552330612069, 1.07910778896854, 1.1097339526013716, 1.1413205933486363, 1.1703358384500953, 1.1948242341941515, 1.2238292973650744, 1.2391497160862894, 1.2640142844222009, 1.2857265527621689, 1.298344035964642, 1.3018381996595014, 1.3336823460972185, 1.346781175147577, 1.355814511478611, 1.3562319484335439, 1.398714517669354, 1.4069822379493986, 1.418014509879924, 1.4065252178334768, 1.4255746166784617, 1.439214526177841, 1.4504095686275638, 1.4572137060633086)","(1.3001639333543973, 1.4106526230943126, 1.4964115451007938, 1.5644637405167376, 1.6154128368819576, 1.6620325691663322, 1.704818638869966, 1.7244876832408895, 1.7653574903376197, 1.7643346469953338, 1.8035056810658256, 1.806906193974775, 1.787424066102371, 1.8369456370479893, 1.8123813260621333, 1.801266494477515, 1.7667442593302718, 1.8280428000130495, 1.7977717108971836, 1.775870245429432, 1.7341717062282733, 1.6973714805860227, 1.653805361285776, 1.6228802134600075, 1.5800304482310443, 1.6625769892750917, 1.6186906043490947, 1.5894354487254856, 1.5444210450440785, 1.5028189446900861)"
"(1.2259868937667417, 1.2668516882325176, 1.2685386510309788, 1.2686063247873935, 1.2686087849958132, 1.2686088925631975, 1.2686088971468408, 1.2686088973406902, 1.2686088973496306, 1.2686088973499978, 1.2686088973500125, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013, 1.268608897350013)","(0.60307210737008, 0.7713427301108766, 0.8829576691833797, 0.9658943246729593, 1.0348476506694086, 1.0961128692248852, 1.1504203586863102, 1.1850177780490512, 1.2298842316856882, 1.2585753272555904, 1.3000706910500115, 1.3218074834001319, 1.3510911609882608, 1.3781407410089925, 1.3930216607700645, 1.4162633334714445, 1.4429995090187444, 1.4538231840523554, 1.4850290544175078, 1.4993453977092086, 1.5203282513075038, 1.5311021379440173, 1.523645053264357, 1.545201723365472, 1.5594138612659192, 1.5692878284427203, 1.5729538953729252, 1.5709252401320715, 1.5628439250090675, 1.549483888552603)","(1.3434436030685277, 1.4646728149237294, 1.5572388242478228, 1.6325728156765265, 1.6863036357940124, 1.7358165966994756, 1.7797747586173371, 1.8008068359204057, 1.8424768970513195, 1.8367004657791983, 1.8775937447317406, 1.8783846668619943, 1.8489955143043744, 1.8137130498035037, 1.86919442150691, 1.8529004253741492, 1.805000396233784, 1.7578997962225655, 1.7092690881431778, 1.6717589126153167, 1.7476178255303008, 1.70005980812166, 1.6454191991338318, 1.6053534920445114, 1.5526160235849287, 1.499264579957103, 1.4464031516300424, 1.4098120916501249, 1.359235163264995, 1.3133758442610841)"
"(1.2905079554417807, 1.3206075913313522, 1.321437627567415, 1.3214568579178114, 1.3214573409772443, 1.3214573544531438, 1.3214573547951547, 1.3214573548036923, 1.3214573548039246, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393, 1.32145735480393)","(0.6779408059332741, 0.8522353394459854, 0.9786517854329496, 1.0687631674729117, 1.148565368437544, 1.2179372498426015, 1.2625984825362888, 1.314808426612887, 1.3588280940376551, 1.3962884355504246, 1.4326367622028688, 1.4670204212405484, 1.4818099822248505, 1.5173236418326388, 1.5460524453233373, 1.5539232880933884, 1.6000644843345642, 1.6278031758856364, 1.640459378658576, 1.632615578708533, 1.6586602761655227, 1.6743698906982871, 1.6831120492082383, 1.6826616342584142, 1.6744008371834052, 1.6567433464221542, 1.6305194461772738, 1.5998822808567343, 1.5585966901370267, 1.5123619421094614)","(1.3896467635305905, 1.5222072072927426, 1.6218776189473116, 1.7047897997278176, 1.7607700206302677, 1.812774825834397, 1.811746540368758, 1.8786136899324735, 1.8537854091066341, 1.9074773115269095, 1.8689719188404608, 1.9470944562774906, 1.902999596536925, 1.853946489917958, 1.7949025127797849, 1.7577218762864575, 1.8265110812687768, 1.7641828266148407, 1.7034348054801514, 1.6543444826970948, 1.58329162922956, 1.5219391688445223, 1.4560967619381622, 1.4065590541145303, 1.498440600087154, 1.2900393292303143, 1.2339094043430099, 1.1943407117035705, 1.1440335351440576, 1.0996180758061047)"
"(1.350124893907953, 1.3699802672023327, 1.3702697940747162, 1.370273647174836, 1.3702736982559096, 1.3702736990141915, 1.3702736990240938, 1.3702736990242212, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226, 1.3702736990242226)","(0.7504144075551729, 0.9458980152953057, 1.0798757937049293, 1.1863472367087784, 1.267358848608475, 1.328578489866998, 1.3873200091882683, 1.4506783321892571, 1.4803362025317417, 1.5448143929021358, 1.5664280035035136, 1.607376363631381, 1.641914079842838, 1.6813642410587755, 1.7242627180495984, 1.7373611474534143, 1.7467689621283227, 1.762015706213508, 1.782351721593618, 1.7921289163602734, 1.7882598890115693, 1.7732914389337417, 1.7442535593355748, 1.70284379240755, 1.6557728242303882, 1.5935824753962842, 1.5220812694166748, 1.4509417931031372, 1.3655353869779554, 1.2785654134914664)","(1.4269411702467807, 1.5824288363946866, 1.6892050358725785, 1.7810959360660414, 1.8379785274903548, 1.8383985314567075, 1.882240081781475, 1.9562055607461073, 1.9158374529957496, 1.9741715171958034, 1.9195159428219737, 1.885924275204982, 1.8125226051566052, 1.8775176481002478, 1.8012676603006492, 1.7520231173644036, 1.6639367992610885, 1.581137086721652, 1.6721400645688282, 1.6071101099699097, 1.5234508339167767, 1.4502543585201055, 1.3757660652473374, 1.3165456709233845, 1.2537010345310406, 1.1893840799112223, 1.1301750239961819, 0.9750190852604632, 0.9328459251986211, 0.8966935206920369)"
"(1.404050242135218, 1.4171130784284833, 1.4172328451525775, 1.417233903261634, 1.4172339144204993, 1.4172339145534019, 1.4172339145550348, 1.4172339145550557, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056, 1.417233914555056)","(0.8305988845898773, 1.0441338277871246, 1.181618255441839, 1.3042789570897695, 1.3895829313447265, 1.4526133093827747, 1.5322704115641754, 1.5877685239998183, 1.637522121926641, 1.6788705135518662, 1.728848971230303, 1.7618136259343036, 1.8205556951323523, 1.847096541510862, 1.8465547399483446, 1.8787263506564282, 1.8958091635974168, 1.8929079085308271, 1.8732902887355243, 1.8332454391011597, 1.7752792288906099, 1.7091123573318385, 1.6218902513206515, 1.5225486905652477, 1.4246621821915624, 1.30866877755133, 1.187472610220484, 1.0756552025674293, 0.9502082352556078, 0.8303612265317699)","(1.4785870363781155, 1.6477781318528248, 1.7314863642119627, 1.8629667608078158, 1.917876647034596, 1.9070557069424345, 1.949246500631674, 2.0337099978389843, 1.9693164315881257, 1.9095284676294269, 1.9561189107204613, 1.9052423338731215, 1.8114165710192245, 1.7116161883291203, 1.783378942600891, 1.7164156001972788, 1.6107633813681785, 1.508820047216692, 1.422792661902288, 1.347557039606162, 1.2609270240890418, 1.186531417110614, 1.113171799985632, 1.0556413982427426, 0.9996115891504057, 0.851882137050062, 0.8137178623834895, 0.7872822888540022, 0.7577586965970704, 0.6905092924038381)"
"(1.454080043976377, 1.4620471760974527, 1.4620850893762847, 1.462085289729516, 1.462085290869744, 1.4620852908764337, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732, 1.4620852908764732)","(0.926103482306778, 1.1471081440749922, 1.2937098885124598, 1.4143641873506452, 1.5101961879927397, 1.6028553927457183, 1.682071386474861, 1.722098535301407, 1.7993715837355668, 1.8550218825480536, 1.9238061338233652, 1.9407000058173214, 1.9482864536726403, 1.986911027905765, 1.996550682169306, 1.980132727149785, 1.9347212504281446, 1.862478659400682, 1.7769636803217717, 1.6623691307534703, 1.5311091116290214, 1.4022634938932548, 1.2509920738967923, 1.0948066707653457, 0.9531436758740843, 0.7972387860256118, 0.6456272481452348, 0.5148805229648259, 0.3776112003577514, 0.25553154221115904)","(1.5326537256003607, 1.7152907873242387, 1.7985845102610283, 1.8928388606942546, 1.9320308420482981, 1.9724725058596635, 2.012119223202821, 1.9825200077363656, 2.009648841977646, 1.9277258841154497, 1.9777929558670402, 1.899061267374004, 1.7851527626618886, 1.6564072715102003, 1.5351809108070187, 1.4487424663916957, 1.5231053740210796, 1.4041036643639315, 1.3146940848861255, 1.2264818039939815, 0.989765261692127, 0.9273262781000927, 0.8686875581091803, 0.7493967871533974, 0.7178483229662032, 0.6897147414291478, 0.6315079167462204, 0.6193675795444838, 0.6064457999997163, 0.5961569651031238)"
"(1.4986674609745028, 1.502862676623149, 1.5028712013745094, 1.5028712204147627, 1.502871220458394, 1.502871220458494, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944, 1.5028712204584944)","(1.01389773714148, 1.2547161180959154, 1.426400887072117, 1.5513705766729302, 1.660619982733176, 1.7627853782523233, 1.8284055513194826, 1.8893976710587221, 1.9754163135270342, 2.032736387252022, 2.0366062553017628, 2.0835222487052425, 2.089563521463349, 2.055522917466395, 1.9804601853905748, 1.8811734005888798, 1.741104946087178, 1.5761956600362832, 1.4126107526402718, 1.2206806610605283, 1.024378777244902, 0.8488768864050702, 0.6595528123633985, 0.480382843238351, 0.33075839913077143, 0.1806015118009643, 0.0503347807179344, -0.04727224767679217, -0.13153118245193518, -0.0013156144180810347)","(1.5897281281800897, 1.7834049824467022, 1.8658558985904736, 1.970595808617758, 1.9989951312952086, 2.031032336194521, 1.934851718117356, 2.0123006556174077, 2.0383040365205796, 1.926359135785586, 1.7727941228918076, 1.653345500484431, 1.7236482437076264, 1.5651446218784772, 1.4319366648305045, 1.3275842577305699, 1.2073937661604537, 1.0977997554020102, 1.0113658751523165, 0.8177269161060453, 0.7624116093662799, 0.6620920427238682, 0.6341743445534149, 0.614134764337483, 0.5969147384166733, 0.5606982827763385, 0.5528989834574595, 0.5474410968633417, 0.5423905484594255, 0.5385926065557073)"
"(1.5378689746013783, 1.539729551277897, 1.5397308530547686, 1.539730854027237, 1.539730854027964, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648, 1.5397308540279648)","(1.1113714311480347, 1.37571283327108, 1.5528439355143955, 1.698184870288873, 1.8093705579741677, 1.8951029017653358, 2.021304133235324, 2.079147861636539, 2.1198779036771467, 2.1618762059830914, 2.177789893727607, 2.131290411690017, 2.038629451366829, 1.8863929089237734, 1.6926736601704224, 1.4932724189272961, 1.2555383036782133, 1.0117278168910195, 0.7957151406024372, 0.5667695835214563, 0.3567198734270365, 0.1887659020003012, 0.0314688804368658, -0.08941928641311203, -0.024767482689106224, -0.024767482689106224, -0.024767482689106224, -0.024767482689106224, -0.024767482689106224, -0.024767482689106224)","(1.6484452580308524, 1.8197919665868227, 1.9295383520718568, 2.047138989827879, 2.0581254575854158, 2.0735643627731406, 1.9469489196764693, 2.0190009431718714, 1.8351909802671746, 1.89316131145535, 1.7078888496039337, 1.5476336159911417, 1.3949854272198305, 1.2359251219949123, 1.104804420528695, 1.0044827390834912, 0.9026126319578266, 0.8185003445175139, 0.6742854215886763, 0.5934125935909247, 0.5698642345509296, 0.5548168998600809, 0.5426921089601449, 0.5336732798934358, 0.512012304094202, 0.5093944963454271, 0.5083769919612259, 0.5078423289879056, 0.5074472295693456, 0.5071669575207647)"
"(1.5730508345894032, 1.5738660376081173, 1.5738662939736128, 1.5738662940815873, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657, 1.573866294081657)","(1.217140196545078, 1.507752909332804, 1.6910788343524563, 1.847259533658161, 1.974658522603594, 2.09738612566371, 2.1956474288639956, 2.211914623599216, 2.261236266011239, 2.228233998551498, 2.108262400064517, 1.9127778417927783, 1.6878437759561629, 1.403542907373172, 1.1036083900019462, 0.8357135650035779, 0.5542832653233711, 0.3025580492264843, 0.11078426595440938, -0.052753311857365426, -0.028093873316289875, -0.028093873316289875, -0.028093873316289875, -0.028093873316289875, -0.028093873316289875, -0.028093873316289875, -0.028093873316289875, -0.028093873316289875, -0.028093873316289875, -0.028093873316289875)","(1.7098103469854613, 1.889562438834931, 1.9924506735243694, 2.1161862732097507, 2.1068182306133214, 2.1109685382566137, 1.9391931347992106, 1.77226231964014, 1.7653708490232911, 1.5707459942817048, 1.3634338876756298, 1.1983750706977352, 1.0513784022011587, 0.914127767641223, 0.808927728423792, 0.7373876010825513, 0.6056214288858166, 0.571690471910271, 0.5218739802733099, 0.5097786502243583, 0.5009633832655324, 0.49789639163541805, 0.49645080757774407, 0.49563999689451255, 0.49516484055251364, 0.49476530559955817, 0.4945212705036832, 0.49437813265399144, 0.4942627170099969, 0.49418644470299855)"
