MK801_current,MK801_firing_rate,MK801_cv,MK801_firing_rate_error,MK801_cv_error
0,,,,
50,0.45731533035316163,2.1771674360507904,0.20524997737962897,0.4258201713079216
100,1.4308899743615877,1.6653024945081623,0.20014116492687048,0.2180766193578051
0,,,,
50,0.5795977781451731,1.7897832065251094,0.1512077850541797,0.2064445469341216
115,2.3401569672912554,1.0667120388426796,0.15096803193136352,0.05652033255741723
0,,,,
70,0.6652863654599447,1.6080629763519037,0.1493299934296833,0.16194611494892067
120,0.7634600390700675,1.078625679523717,0.09425331161259154,0.14611795528150187
0,,,,
50,,,,
100,0.44523828782132285,1.2231183407555846,0.11346401463053843,0.16842935437551562
150,1.1158932931611747,1.0899849049661428,0.11279834933886834,0.09267284796229038
