A_750,CV_750
"(nan, nan, nan, nan, nan, nan, nan, 4.95000495000495, 9.352349777881692, 14.75490463959779, 13.12485733850719, 15.49559177130644, 17.111945241775228, 15.994881637875878, 20.070775893941793, 23.26182476092013, 23.330258803103465, 24.125452352231605, 25.556772544724353, 28.28778821520068, 30.227225349176567)","(nan, nan, nan, nan, nan, nan, nan, 1.1928591480633708, 1.1533017982769203, 0.8958547854694175, 1.0819101850687722, 0.7403864309022338, 0.55863785577619, 0.654195795059724, 0.775022042180149, 0.6386418976577057, 0.5796343551858988, 0.5998263927581077, 0.668751815181243, 0.6784158447248745, 0.7062584032697791)"
"(nan, nan, nan, nan, nan, nan, 7.513148009015778, 8.217489556940354, 12.278453982489857, 13.04742455184933, 20.73613271124935, 22.867834312145938, 24.946921443736727, 26.822595354326484, 31.196381219778505, 34.30260172040741, 35.10978357700571, 38.49955777534988, 40.69706772409475, 43.791054113231155, 42.90736145574855)","(nan, nan, nan, nan, nan, nan, 0.9323097588542437, 0.4731985616119716, 0.7069077044628387, 0.634991646452394, 0.7869041001941023, 0.6654415799342323, 0.7639937514363631, 0.6328845092707507, 0.7222514568915565, 0.6376404497210564, 0.617446657875908, 0.7128068719296838, 0.7079472088491569, 0.6529737831859503, 0.7055428836642277)"
"(nan, nan, nan, nan, nan, 10.505363264403405, 17.578326956881398, 20.115535382710956, 24.029476157419765, 26.68480535789033, 29.388191290408766, 31.321779077051577, 31.149413352715186, 34.59300801928822, 34.86496331373263, 36.559252102157, 36.793283930144575, 36.25628010566116, 37.56260434056761, 38.080333854981745, 36.93736478286105)","(nan, nan, nan, nan, nan, 0.8779623345603079, 0.6853534545225574, 0.7578524136844205, 0.6743924710741355, 0.6082950990840671, 0.55205911779772, 0.6388552376714816, 0.5423162563588663, 0.5735195713426624, 0.571482907411907, 0.5327541727856705, 0.495200538100951, 0.44483802256015365, 0.4706331933849455, 0.46148422468849365, 0.48834011026449675)"
"(nan, nan, nan, 5.74052812858783, 10.839269123567668, 16.960280118174854, 19.667251368734384, 21.8015526959481, 24.75247524752475, 28.385828920792616, 31.645569620253163, 35.83473861720067, 34.602076124567475, 36.965689592336126, 40.11043392196697, 39.31569440017001, 48.15241285460065, 55.46710492527349, 56.88766016268807, 59.311358387570856, 64.63527239150507)","(nan, nan, nan, 0.5842265098034988, 0.8422708670460883, 0.8699390948088386, 1.0642769166397874, 0.9054348203026849, 0.8194496251357676, 0.8195104898751865, 0.8812163303059861, 0.8030516346561205, 0.7795632909994813, 0.7263246574939922, 0.8502702485190362, 0.7908680760750829, 0.9000464577946021, 0.965582970432315, 1.034173118314816, 0.972143322389823, 1.0098857222712159)"
"(nan, nan, nan, nan, nan, 6.325555243182457, 10.401497815685458, 12.026458208057727, 14.91383119752541, 19.91927451905436, 22.32380142447114, 25.098210388476648, 24.690060937171673, 31.25814014066163, 31.380753138075313, 37.66769865841073, 38.12408606642991, 38.107335662114956, 40.345523198675835, 43.172951885565666, 44.75999382620774)","(nan, nan, nan, nan, nan, 0.7978042695992397, 1.1560001366490917, 1.0342553033328667, 1.1131897778349396, 1.064192863219788, 0.9027032097005873, 0.8616036320965197, 0.9083633133019058, 0.8923424898152953, 0.7934499304574893, 0.7574201692644046, 0.7337108159562468, 0.7140400681963252, 0.745680753596295, 0.6705141163414098, 0.6708878195707502)"
