Control_current,Control_firing_rate,Control_cv,Control_firing_rate_error,Control_cv_error
0,,,,
50,1.5632015877815852,2.7056701714558904,0.4073705546306014,0.26185009544454735
100,4.18992259353638,1.7466133938133148,0.3336540588782984,0.0842159244159083
0,,,,
85,0.716057225247564,2.112519549931624,0.2237345721211992,0.28144617676098
132,1.767187438996073,2.1894126243210836,0.28116529351155967,0.15963198985038693
0,,,,
50,1.8520639202396658,3.1051798776448827,0.631746470279985,0.34518958208869643
100,2.781522321062663,2.1334600532430215,0.35162160697154954,0.1449383854480556
0,,,,
60,2.891696595047623,2.490659404117157,0.405683336920547,0.14900874290232183
0,,,,
100,2.407240912130138,1.2451560756681679,0.18106255255641776,0.06349485410226414
