A_0,CV_0
"(nan, nan, nan, nan, nan, nan, 5.06658946149392, 5.8049535603715166, 4.151100041511, 9.258723453503848, 9.837423630527079, 12.787042463636848, 14.778065129044172, 15.779736641636736, 16.43565441297321, 21.26847357801167, 21.17186259461176, 25.7856567284448, 25.343953656770456, 27.53962068069628, 30.47979399863366)","(nan, nan, nan, nan, nan, nan, 0.3124119226435934, 1.2020450589037197, 0.554897512002271, 0.4731721177147896, 0.6625284941400408, 0.5524945109864602, 0.5733142501440993, 0.44155676301578217, 0.5378390858767311, 0.4774633846589566, 0.5430959105351202, 0.605840314543649, 0.5557450224852493, 0.5321672065110787, 0.6281784046208042)"
"(nan, nan, nan, nan, nan, nan, nan, 4.879635653871177, 5.3985963649451145, 8.989001692047376, 12.842465753424657, 12.09698627255036, 16.424575270748857, 16.637089618456077, 18.76955161626694, 22.58331038281465, 22.711667458934134, 25.567440647012784, 26.747784129648082, 28.880487292585588, 31.406064974514752)","(nan, nan, nan, nan, nan, nan, nan, 0.4442902829119452, 0.7320023327300283, 0.4633951399494481, 0.4121435639823228, 0.38216815266009985, 0.4306898820838732, 0.5092716007072048, 0.41036364979297396, 0.5395836226191736, 0.43197526939231756, 0.42301548832231733, 0.6158622459222547, 0.6227755294590287, 0.5744926094136299)"
"(nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 6.685236768802228, 7.8431372549019605, 9.451299553688632, 11.722020653084009, 13.297872340425531, 14.930148235043188, 15.040944794161884, 16.566576931041624, 17.604694585222727)","(nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.5004978333376261, 0.6731839073484343, 0.4910970059423633, 0.6454988114239479, 0.49505419450826427, 0.4803326858495717, 0.5148486578924202, 0.39050604586366355, 0.48946145274843533)"
"(nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 6.499133448873483, 6.402048655569782, 6.888238333046323, 9.28235771886059, 9.430298995950517, 12.962770921912266, 15.015015015015013, 14.797590106754042, 17.887205387205388, 17.22745625841184)","(nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.7140937643958076, 0.4677216473795964, 0.46304002617587803, 0.8212292040102389, 0.4986640162707442, 0.5263924569706889, 0.4713570346981534, 0.6356539229860212, 0.48120942445605425, 0.49623092375382516)"
"(nan, nan, nan, nan, nan, nan, nan, 2.822148219224473, 6.119610570236439, 9.68581633270779, 11.729517330361857, 14.870678209145467, 16.600621184534646, 17.627263500881366, 21.77068214804064, 25.519504192489975, 27.37562516451698, 27.074872435697177, 31.13648157758173, 33.95851836372185, 33.470648815653966)","(nan, nan, nan, nan, nan, nan, nan, 0.6298313214286558, 0.8683236904757601, 0.49783611594891963, 0.5546215758060198, 0.48622139192391384, 0.5753678734016296, 0.5577663982821596, 0.5364854596308115, 0.5109101043353013, 0.47656768421121104, 0.5293580670925552, 0.5522150080378021, 0.5089610847044012, 0.5465898356851736)"
"(nan, nan, 5.117183502200389, 5.48780487804878, 6.3716404077849855, 9.306909011277783, 10.816657652785288, 13.06369859434603, 16.62878997838257, 19.107266068680005, 20.631990444130743, 22.446103252074955, 27.649279523581644, 31.256511773286103, 32.54132231404959, 36.718422156945024, 36.46934460887949, 39.89430599450805, 41.40358140979195, 42.97018288529057, 45.49495372065053)","(nan, nan, 0.33061051395395313, 0.8652332971728407, 0.716633067743015, 0.6318532162033115, 0.5919805144064774, 0.33061124007732684, 0.38193824073803306, 0.5098804874440531, 0.6188667004466696, 0.44304774138268327, 0.5284943741044469, 0.5559627261707372, 0.5920864798151929, 0.6227853525441756, 0.573465544955191, 0.6261884897606109, 0.4945111303455882, 0.5735169051183775, 0.5805239201916672)"
"(nan, nan, nan, nan, nan, 4.313000616142945, 5.475118627570264, 8.916863362182008, 11.892727597074389, 15.754019991308128, 20.22567596338088, 20.051712310696004, 21.426704990854454, 28.011204481792713, 29.95270625328429, 29.359337317814827, 33.58169797460384, 35.50478542760111, 38.904450669156546, 45.516375431620794, 46.77511563848032)","(nan, nan, nan, nan, nan, 0.9283858623235395, 0.7035194429185972, 0.6915078935978894, 0.5593668633442797, 0.5338003544409048, 0.6328790644895671, 0.6816042294586171, 0.612888404602647, 0.6811900069281901, 0.6212314865254334, 0.6402008372195916, 0.5624616342819397, 0.5455429835666561, 0.6761244138293232, 0.7881133170510364, 0.7437980423982095)"
