MK801_current,MK801_firing_rate,MK801_cv,MK801_firing_rate_error,MK801_cv_error
0,,,,
50,0.45731533035316163,2.1771674360507904,0.20481926555201832,0.4251145327951632
100,1.4308899743615877,1.6653024945081623,0.20350400576781374,0.2190149146701652
0,,,,
50,0.5795977781451731,1.7897832065251094,0.1516342333434297,0.20797987476805258
115,2.3401569672912554,1.0667120388426796,0.15128896087967206,0.05627397283635276
0,,,,
70,0.6652863654599447,1.6080629763519037,0.14480401619712788,0.15843527234200122
120,0.7634600390700675,1.078625679523717,0.09559184292112038,0.14614516629337165
0,,,,
50,,,,
100,0.44523828782132285,1.2231183407555846,0.11199388541665826,0.1687912054492097
150,1.1158932931611747,1.0899849049661428,0.11339560149044547,0.09219494436105845
