A_500,CV_500
"(nan, nan, 7.378258730939498, 7.955976927666909, 3.898852623370837, 11.842433308401894, 12.312633832976445, 14.192139737991265, 15.517149125153834, 14.538947603869596, 17.590618336886994, 21.85501066098081, 23.216888936882455, 22.681859912512824, 22.041458934662817, 25.79354634942359, 27.188120882568228, 29.294274300932088, 31.614407877688517, 32.31959309102469, 33.96109910466193)","(nan, nan, 1.3912993282629924, 1.1263826103085433, 0.9354657013503385, 0.9187595748081874, 0.7856831866755865, 0.795365399836976, 0.7397656545108642, 0.5186613917413264, 0.5981316799712738, 0.7393603370008713, 0.7366679025362872, 0.6398971134725732, 0.5854059205385126, 0.5725541751428852, 0.5794242884246574, 0.6103334216853026, 0.7161704230696266, 0.5397714289432436, 0.613384260607458)"
"(nan, nan, nan, nan, nan, nan, nan, 7.908985824663867, 10.4942806170637, 12.871453354972298, 14.497422680412368, 16.685785796224838, 18.293696989855313, 19.169329073482427, 18.778305534077102, 20.631318341242007, 21.512315800795953, 20.365535248041773, 23.28288707799767, 24.640872391737442, 25.002604437962287)","(nan, nan, nan, nan, nan, nan, nan, 0.6449349642786222, 1.0637720460255646, 0.818120517070272, 0.6220848324567297, 0.5911533419794551, 0.6752378458722523, 0.6446320106986664, 0.6265470619788092, 0.6594658507222632, 0.6061484934704012, 0.5673769269616666, 0.6544527545560841, 0.5379194674539025, 0.5078550382128705)"
"(nan, nan, 3.8923126824521566, 7.596619504320576, 9.917741088617932, 13.157142039929065, 16.89456734068951, 14.970059880239521, 18.76172607879925, 25.088075157467706, 25.329542517446367, 29.342118809842475, 31.001343391546964, 34.58957150232318, 34.04745691687182, 35.97883597883598, 41.42931123770067, 42.89375948109013, 41.61528976572133, 47.914171136919954, 45.57598617004557)","(nan, nan, 0.6838557232309346, 0.4966752875684445, 1.029705351643177, 0.7928337857657077, 0.9204145479035165, 0.8193319663957659, 0.8908099681029562, 0.769313888703704, 0.8504516220087974, 0.767612748271708, 0.7818348610838917, 0.6305259515676402, 0.6997572082385394, 0.7030745008989324, 0.6762106898876804, 0.6695954283366935, 0.5458344242831912, 0.5388978586410733, 0.5526825279525546)"
"(nan, nan, 6.500260010400416, 8.100226806350578, 12.142620598300033, 14.355593364525731, 18.366464995678477, 17.184035476718407, 16.70058973957518, 24.900140063287854, 26.096033402922757, 29.123643102991792, 33.88035997882478, 34.06100015482273, 34.56945317410434, 39.632213062777424, 40.572171651495445, 43.415340086830675, 43.35707649427067, 45.2229961534463, 45.952085914911194)","(nan, nan, 0.6271431319494319, 0.9277670303229545, 0.827689731489174, 0.7201840057835631, 0.6342302834308383, 0.43808646928828787, 0.522513610425953, 0.5433241419635294, 0.7274561276520876, 0.625104028612458, 0.6722878075022101, 0.5906559850034403, 0.6141004786777402, 0.6231374292430943, 0.5138375376541209, 0.5706462920668287, 0.6069015992088983, 0.5403147180771352, 0.5580434197648658)"
"(nan, 5.013089734306244, 9.087294825921507, 10.362694300518134, 12.472208665473673, 17.74437659829863, 20.369962563312047, 19.20780771427088, 25.38893690579084, 29.143504776296616, 27.501037775010378, 26.50129856362962, 18.97018970189702, 17.268361124602016, 14.605647517039923, 10.664960273022983, 10.114632501685772, nan, nan, nan, nan)","(nan, 0.761983365083127, 1.1250536162225304, 1.2419480042980426, 0.8634125551565978, 0.9565468148502625, 0.9202909563415662, 0.9403440057158271, 0.7815511294873576, 0.8391082308255711, 0.8218669825337929, 0.7967081310127884, 0.826863438265921, 0.8356613814006622, 0.8226244300554687, 0.966160894004645, 0.9288391850551797, nan, nan, nan, nan)"
"(nan, nan, 7.413814407512666, 13.01272984441301, 15.47029702970297, 19.44697660285627, 20.286141362374543, 24.537870112874202, 26.318559848405094, 26.825796561918317, 32.1457272970801, 33.6179295624333, 34.30164004716475, 34.68390351568658, 35.55927417246247, 37.65409810697891, 39.13088250437648, 39.620477531018665, 40.37267080745342, 39.54625871578728, 41.812925872393144)","(nan, nan, 1.0751721803526055, 0.8688526874607325, 0.8552873816584464, 0.8399263131455689, 0.9031982702383967, 0.7773311866408834, 0.9563121641249642, 0.8373319012604742, 0.8520666103653312, 0.7086056207208598, 0.6701670493836487, 0.6485884784046683, 0.632694691219774, 0.6314145733319831, 0.7231790717910354, 0.6045207507070165, 0.667591232589395, 0.6088982834246137, 0.5866926753729302)"
