I_det_star,D,I_det_star_error
0.7810000000000001,0.2,0.0014142135623730963
0.7639999999999999,0.3,0.0031269438398822892
0.752,0.4,0.0018856180831641287
0.7430000000000001,0.5,0.003018461712712475
0.736,0.6,0.0037712361663282566
0.733,0.7,0.00368178700572909
