CV_data,CV_data_passive,CV_mc_data
"(1.0062742446792337, 1.0524417866564295, 1.0847831854456067, 1.110522676007091, 1.1339690715721855, 1.1625204820239554, 1.187560301662645, 1.2118975325851853, 1.236579715572316, 1.261433969146656, 1.2775169615966555, 1.2865561359603606, 1.2826151264518717, 1.2630308079342036, 1.2230669805862828, 1.161283280360939, 1.0823411385891692, 0.9900570549129603, 0.902002579624276, 0.8271743661390385, 0.7715855628704997, 0.734708755322876, 0.7140627213276355, 0.7012827035068929, 0.6942265740405545, 0.6894777923502675, 0.6871393757355674, 0.6874985934919042, 0.6898573920811975, 0.6949989969531257, 0.7026801044154461)","(0.961980409362215, 0.9650425855480409, 0.9734533203458846, 0.9750553802838587, 0.9746157117768799, 0.9732381258131494, 0.9713384516843475, 0.9687051445057245, 0.9656369097696823, 0.961785383623861, 0.9572190956907447, 0.9517833395477026, 0.9456448021865186, 0.9384972362248383, 0.9305392255211425, 0.9210766094046037, 0.9106502272264476, 0.8984752722168414, 0.8848034274394547, 0.87008057981414, 0.8534326796966119, 0.8354169359582699, 0.816744237025258, 0.7966909208758265, 0.77674780269015, 0.7564671954324736, 0.7370904299554757, 0.7199512621897339, 0.7050935429281192, 0.6941828772264907, 0.6875854057488441)","(1.0121944353203898, 1.2517889017598762, 1.168127110952876, 0.7202763285069811, 0.7073132529037871)"
"(1.069673181859059, 1.0776121677248118, 1.111959737726577, 1.1407383843405952, 1.1667741185156029, 1.200967352256058, 1.232586551796074, 1.2641740831881687, 1.2992186131495564, 1.3371939707515037, 1.3671051114846022, 1.3931777538949126, 1.405882236994921, 1.403420238230135, 1.3751649761543394, 1.3149835571173367, 1.224751680454561, 1.1043585275407197, 0.9761762774273914, 0.8561934604957192, 0.7613973177898825, 0.6979265712889317, 0.6678978044070475, 0.6560447630903888, 0.6542147925006477, 0.6562234869535248, 0.6611479625828215, 0.668523955538604, 0.6772789437254929, 0.6881139441548363, 0.7007391379125077)","(0.9568172912418897, 0.9372326556299363, 0.959167196131201, 0.9656194862126163, 0.9675217221532313, 0.9675497430082528, 0.9667209021919854, 0.9647432549905576, 0.9622939712291761, 0.9588013405555177, 0.9545230117748029, 0.9496657458193807, 0.9436536406943083, 0.9365992921650735, 0.9288832130584403, 0.9194838809476816, 0.9092907551646797, 0.8971607928573662, 0.8835237728789275, 0.8690307673324074, 0.8524241543951318, 0.8344182641943841, 0.8159698893563495, 0.7959332896293995, 0.7762223270772549, 0.7559298145016924, 0.7365748363649013, 0.7195976506371059, 0.704767852709038, 0.6939688125718233, 0.6874480363645105)","(1.1070101509645933, 1.2753076379452928, 1.305760214160021, 0.6513517892109045, 0.7086790226518817)"
"(1.0631151787424944, 1.0439347892834323, 1.0946737798587622, 1.1305724607435295, 1.1601333948790677, 1.1976233633809577, 1.2331358135964663, 1.2683412100864047, 1.308801184001827, 1.353412150615188, 1.391283444193701, 1.4285424289267876, 1.4539203210893763, 1.467277890402802, 1.4554884833760702, 1.4087338009436585, 1.3262483404752174, 1.2020687305615538, 1.056867212621017, 0.9083907015981192, 0.7808537787727714, 0.6877590872173771, 0.6397450073568253, 0.6231795675368191, 0.6230955505264698, 0.6293614379956908, 0.6391704111421029, 0.6515248535512203, 0.6652675020272056, 0.6805572886625934, 0.6971045559192081)","(0.9508536343486441, 0.90466818242127, 0.9425760268293559, 0.9545964444780229, 0.9592169719908107, 0.9608906981154278, 0.9612694115211392, 0.9600706314841756, 0.9583056989434457, 0.9552618141816454, 0.951334482250447, 0.9469331805883292, 0.941130810660242, 0.934245293093396, 0.9267964508497231, 0.9175120774021541, 0.9075667004484641, 0.8955064619166274, 0.8819363602306007, 0.8676725373342138, 0.8511019745645958, 0.833157229362007, 0.8149139638935728, 0.7949209547903914, 0.7754035412861934, 0.7551530020976361, 0.735876981117272, 0.7190627191843747, 0.7042915281140741, 0.6936160473499698, 0.6871278472083006)","(1.0992255611860982, 1.2930815185869233, 1.4038929725706133, 0.645277472980668, 0.6926849612891832)"
